F3l2n1m2	V5w2l	d6r1t35n	f0_p6nt5 m2d35	F1	F2
B2rn1rd1197	6	0.05225710463308464	128.98071403374763	390.61352839855607	1018.3813197837502
B2rn1rd1199	2	0.09379720642203868	129.44073468107183	613.6359294630505	2222.879070172774
B2rn1rd1201	2	0.09071296679369809	227.48594713495942	644.0093350834537	2199.048580105256
B2rn1rd1203	2	0.07394649288903721	215.05832183715597	590.050515404006	2312.8071599501027
B2rn1rd1205	2	0.07302383857822184	229.9405072518512	512.8342632224502	2289.4825871548383
B2rn1rd1207	2	0.10838439931678581	215.891127063765	563.1266395818157	2357.8707263894275
B2rn1rd1209	2	0.11511102949479621	101.09877811833076	528.0904208789768	2301.5370505536775
B2rn1rd121	1	0.08206766265775167	181.66942417831999	760.8103557124698	1649.7392158813577
B2rn1rd1211	2	0.08620076177623359	216.87224817952352	555.3654839938187	2318.081899175026
B2rn1rd1213	2	0.08693283250777892	131.09582499574492	636.6148272252019	2187.8149366640005
B2rn1rd1215	2	0.10720324114458857	236.62045469342593	593.3301757417072	2197.909073287946
B2rn1rd1217	2	0.10703108192319938	199.38471157959248	555.4861415049584	2227.628955051626
B2rn1rd1219	2	0.10944337036450313	243.67798482183437	549.0228494033394	2209.0686725639216
B2rn1rd1221	2	0.1725248403287144	237.32862554356535	530.7194651154269	2425.063470537567
B2rn1rd1223	2	0.13973667229681985	222.02400010265814	535.1042952983775	2376.256439432841
B2rn1rd1225	3	0.07943414433800733	241.4451828483921	380.60832175877323	990.5763260471392
B2rn1rd1227	3	0.06331220652036404	244.27047471267446	387.8646505848914	2055.7965197808903
B2rn1rd1229	3	0.08609974707678393	229.04603118640574	385.99832637301745	2611.207131625171
B2rn1rd123	1	0.07622564573448426	174.31359560794775	822.0223312348078	1629.237616772207
B2rn1rd1231	3	0.043302937387149465	245.24549109880593	332.6004238641659	2673.2760218351577
B2rn1rd1233	3	0.05213061884375664	240.00969936428515	357.78681452664443	2642.7183642032646
B2rn1rd1235	3	0.04423121417430276	228.54833531324482	416.34156181511383	2671.368876288791
B2rn1rd1237	3	0.07056076172328954	241.6687098615904	346.00098971796257	2361.455711568879
B2rn1rd1239	3	0.05768004376092348	126.51916802173858	363.0925697892906	2830.3537496272656
B2rn1rd1241	3	0.06740125039156059	242.70930956542247	372.15623185146484	2469.4059454544267
B2rn1rd1243	3	0.04229383035863371	241.362587556473	395.3219620554305	2391.368537866897
B2rn1rd1245	3	0.03437059944720269	234.89692704924406	352.3326538197284	2795.633011196821
B2rn1rd1247	3	0.054612109029374106	210.90207171083938	393.0092026253286	2751.1706950940693
B2rn1rd1249	3	0.042784752754143784	128.44175281511036	410.9845402186831	2713.0991102889875
B2rn1rd125	1	0.0811552072360644	212.89594726699372	928.4032790344281	1667.315288059704
B2rn1rd1251	3	0.06253601644878509	230.6106942470299	417.0084244371541	2746.8224326720424
B2rn1rd1253	3	0.04716631143717012	133.3146123060127	381.2063507804756	2640.660199709366
B2rn1rd1255	3	0.044050252689786906	123.59172366289829	428.72001932360723	2143.6052123498034
B2rn1rd1257	3	0.041535361884247626	132.63959395699018	397.68092764803595	2758.1373735949637
B2rn1rd1259	3	0.10404947992613642	128.92862429526065	333.9010767863588	2678.4413406016156
B2rn1rd1261	3	0.11999260105965648	228.2831342711112	420.7724868240181	2732.6693293469098
B2rn1rd1263	3	0.09688150329230644	207.52513527415954	383.6852733831156	2655.7165794303755
B2rn1rd1265	3	0.03309324777175581	128.2170176940224	401.63797060008017	2205.308832036774
B2rn1rd1267	3	0.049633951771628854	126.56813721203777	418.73844359144243	2638.631854081003
B2rn1rd1269	3	0.035415660782719266	129.11924066088346	339.0079139236264	1966.0282951234374
B2rn1rd127	1	0.11195295975114859	210.22663990434535	857.1565602902318	1714.2575078203229
B2rn1rd1271	3	0.028530491309454432	242.01842508074046	392.12673024122137	2769.3572572614444
B2rn1rd1273	3	0.034065704694878476	236.06897531418397	425.528324807439	2631.2356305189464
B2rn1rd1275	3	0.03284873691896603	233.63397121538316	404.0414294919258	2354.210727399627
B2rn1rd1277	3	0.04595997463549917	206.86822888532282	409.0603274668865	2798.999308021315
B2rn1rd1279	3	0.03584917291311043	130.11213535203305	356.61251989142824	2580.10110264801
B2rn1rd1281	3	0.027567585515240273	126.38023050618422	376.70795467774485	2598.288528419603
B2rn1rd1283	3	0.028085169410759475	231.34936948653674	402.79946638487513	2522.4508623840456
B2rn1rd1285	3	0.07231420507217858	124.83778302657115	384.73545177164425	2499.0063388777007
B2rn1rd1287	3	0.0431926727129649	243.84385933545914	326.9294591549544	2318.242405210022
B2rn1rd1289	3	0.06467572348339837	232.6805871318436	372.2470814977147	2753.91158063776
B2rn1rd129	1	0.09471373113582085	205.38223296240764	899.1992901650007	1707.139614648436
B2rn1rd1291	3	0.0834256264292399	218.56443562536356	394.3980905139174	2661.6930041852042
B2rn1rd1293	3	0.06731881558825081	232.11116435150703	374.1374935597803	2750.75989490356
B2rn1rd1295	3	0.08744867888323449	218.5360571026011	395.1571859471112	2649.2292160718944
B2rn1rd1297	3	0.05557487926254803	139.61008625239285	319.1902557783535	2787.082230373149
B2rn1rd1299	3	0.05017836147057397	126.59699665737959	400.3487038015963	2640.546359714287
B2rn1rd13	1	0.04510530197141388	227.38381741411823	990.3805467058089	1541.854993852477
B2rn1rd1301	3	0.03888755357282539	237.40239798824416	422.1054988173921	2641.48556070079
B2rn1rd1303	4	0.04102808144758227	229.6036362834706	430.06691870933463	1654.822130594673
B2rn1rd1305	4	0.08074097193664284	235.72481684120996	448.8997964897654	1608.9775638454023
B2rn1rd1307	4	0.06467837784525271	223.54474476413787	450.2155523750978	1765.005050362349
B2rn1rd1309	4	0.023275346157889204	231.850330122357	319.4770853390957	2495.9795250200987
B2rn1rd131	1	0.07009168649359082	196.9747974347561	726.4873618860319	1751.6300069978013
B2rn1rd1311	4	0.031321185234197274	127.18410484922262	469.07751642126414	1511.0740535209447
B2rn1rd1313	4	0.033889602627004495	207.2453745062714	405.3372419965231	1378.535424853206
B2rn1rd1315	4	0.05179793124135776	203.06248457165037	409.4497205855139	1257.8543223666447
B2rn1rd1317	4	0.029687304235667317	202.64070395593023	405.7121784462682	1300.9100115925473
B2rn1rd1319	4	0.020248290080581433	209.57750239190375	416.402480002439	1371.0849224047672
B2rn1rd1321	4	0.038903126339982566	229.94077276510933	424.03927211413776	2805.127139415338
B2rn1rd1323	4	0.03519761609389352	218.52525448493864	390.3857695356632	2351.4888088043967
B2rn1rd1325	4	0.01969175953984112	213.1817360190434	371.78301584728007	2130.3196061773856
B2rn1rd1327	4	0.0826560354090435	131.2345104430799	385.9055200988147	1735.216963567443
B2rn1rd1329	4	0.07125398330467717	230.6311991415399	459.0653881151048	1936.7741422328604
B2rn1rd133	1	0.03952725760415371	218.21640380478055	714.7559883792256	1705.6221173002884
B2rn1rd1331	4	0.051272749222267655	220.86774478297352	448.48816311638274	1808.190099165957
B2rn1rd1333	4	0.0402611521249914	200.28245619869145	415.7047071079095	1878.8113136218
B2rn1rd1335	4	0.05736507936507934	201.66295254702456	409.7172154177933	1893.4044168247203
B2rn1rd1337	4	0.03264748494131753	128.23704635167752	473.5132181833102	1687.218376131872
B2rn1rd1339	4	0.03637881297012685	233.41118766219742	459.93236895548887	1636.5198315202583
B2rn1rd1341	4	0.028692661414329024	209.13645302874113	420.34517002506425	1592.730564742031
B2rn1rd1343	4	0.05994696439593786	126.23844982523843	463.3848089946607	1526.6586636225989
B2rn1rd1345	4	0.05418878041385766	225.68425162165778	450.0424633759149	1662.070964122309
B2rn1rd1347	4	0.04435852485987113	213.45913339030707	430.75849124958165	1822.882566347244
B2rn1rd135	1	0.05042684230403857	212.40769900310053	802.9550802817595	1726.7579833428804
B2rn1rd1351	4	0.02651461927790308	216.98867746080833	432.95280593480675	1623.585365940075
B2rn1rd1353	4	0.022896366086236103	207.26439312431376	423.4950809450592	1504.1356324591802
B2rn1rd1355	4	0.03748203832431743	213.82664773117523	433.31870529656146	1508.2872490265836
B2rn1rd1357	4	0.14552652679857253	249.92216799776816	366.78662156860435	1496.459772268355
B2rn1rd1359	4	0.13918087483093772	242.92924743446991	464.1048745399035	1453.279972025641
B2rn1rd1361	4	0.12734247612088317	234.0616086217446	466.16691981263676	1520.648569498981
B2rn1rd1363	4	0.10269395826374289	125.89874793505672	458.34901389066016	1526.4316911611338
B2rn1rd1365	4	0.10733556098995567	241.29253458777174	479.1885727638602	1608.7739668705206
B2rn1rd1367	4	0.10240979894675328	210.06157082728132	420.6927823507352	1683.7900588899738
B2rn1rd1369	4	0.07090698286851568	126.78920986623466	411.2122181114336	1544.3023322333381
B2rn1rd137	1	0.0353596897825762	210.6444518048819	819.2037334364852	1638.2396625999438
B2rn1rd1371	4	0.1970272180460551	208.9260319147795	412.68906593434656	1623.4239600497979
B2rn1rd1373	4	0.10254616805608346	203.2630340553501	410.6310014410513	1661.1171865755189
B2rn1rd1375	4	0.03664775563051187	231.04277494579796	454.8614465421279	1179.7055053887516
B2rn1rd1377	4	0.031302916582621396	216.36216893263563	428.6217056699574	1084.0499267003795
B2rn1rd1379	4	0.04286513711299797	228.87235420643069	463.6306961865468	1167.4826578342586
B2rn1rd1381	4	0.04310205971602135	215.10034497722592	439.73531102104835	1272.4670546468096
B2rn1rd1383	4	0.027471521316243794	132.19237792056947	485.2160255387387	1079.1999020757069
B2rn1rd1385	4	0.1033634287332904	162.93862311434387	384.66669333193227	1643.04457922341
B2rn1rd1387	4	0.10508716022021342	242.05752012707399	441.7811585741074	1723.9884082214535
B2rn1rd1389	4	0.11069047331358364	222.03542759871598	446.75669880445946	1756.8321410203762
B2rn1rd139	1	0.057361716367103036	202.27991290817064	832.206069497277	1617.3296624185164
B2rn1rd1391	4	0.06413140491601535	242.36273505388345	458.2254064652193	1858.430898548158
B2rn1rd1393	4	0.0529778902194486	219.40476233633893	441.90348173412826	1675.5765737793747
B2rn1rd1395	4	0.10329504997007546	145.3468319126167	327.1591149620222	1425.1597901432713
B2rn1rd1397	4	0.14577016270876758	132.74543651235544	473.6920717636513	1427.579402858398
B2rn1rd1399	4	0.12494714396610296	129.85954940294044	492.09763127523206	1486.5697205467682
B2rn1rd1401	4	0.08106710447336829	207.37538177107862	373.65902959956657	2418.000724808585
B2rn1rd1403	4	0.07048730020949828	126.47954211815353	386.2654568627771	2303.708890793843
B2rn1rd1405	4	0.038319229279013156	132.3235800250487	455.37996476300435	1764.194513236022
B2rn1rd1407	4	0.043092832843039386	221.39152145614102	441.85483270956513	1697.7987926203348
B2rn1rd1409	4	0.04858255460857164	222.4933214217204	449.7247108355595	1707.9548722350041
B2rn1rd141	1	0.09804752314455303	178.44498407287517	948.6789799510179	1697.2524764824125
B2rn1rd1417	5	0.0690822963002384	224.73259873116234	683.354170470046	1173.3941521474658
B2rn1rd1419	5	0.04081728204224305	217.58942320825017	685.8877666042866	1169.6579360184403
B2rn1rd1421	5	0.04544978801196914	217.17757331794917	554.4411284113083	1050.6742665660645
B2rn1rd1422	5	0.059976693732391784	228.4432128462951	528.4661398918969	963.9086581622557
B2rn1rd1423	5	0.06455436469965238	234.80448555690575	572.5590732270581	999.1345217738536
B2rn1rd1425	5	0.06115809715392803	230.57931673299	528.880441238793	962.5065062188032
B2rn1rd1427	5	0.04873609487736785	210.73363200814177	555.4352917231594	1056.312495381613
B2rn1rd1429	5	0.01637579491432034	229.6515849617805	567.3541019701713	1237.6848178460325
B2rn1rd143	1	0.07658173620928446	91.22063248316903	797.566858168196	1561.7031700917214
B2rn1rd1431	5	0.0340118461879545	207.6878023764611	595.098993434608	1215.9354833305254
B2rn1rd1433	5	0.03272791693750832	196.3215186046906	555.9550689577853	1218.8141820619933
B2rn1rd1435	5	0.05956390333722256	224.6600927431598	589.1782447811146	1134.5556420514827
B2rn1rd1437	5	0.03838661649434061	209.4073407053398	535.4464892381885	1064.4005316869836
B2rn1rd1439	5	0.02807169863115025	220.88469736537905	528.2555021896307	1126.1998355250978
B2rn1rd1441	5	0.05365898633875624	225.81181251425846	564.020766842256	1086.8870884899632
B2rn1rd1443	5	0.07021139092859959	211.20778814094533	579.4351369528396	1050.9221680595426
B2rn1rd1445	5	0.08296973731353008	206.92626962507913	583.2941868120356	1042.0048165738751
B2rn1rd1447	5	0.03507012108405297	229.2347910872529	521.452991816109	968.3681114209201
B2rn1rd1449	5	0.04727095690788144	212.3565660809568	531.3824250154637	1065.936931132774
B2rn1rd145	1	0.06319097273348973	189.97617100671167	839.7266106204643	1664.5739493686249
B2rn1rd1451	5	0.06432228588857772	202.75291775215032	525.8332547226922	1045.5897439515568
B2rn1rd1453	5	0.039524949406285814	213.83301737465058	523.3235437400051	955.329057893824
B2rn1rd1455	5	0.07135977279110055	199.56363675321285	524.2651317228841	1007.3861201507779
B2rn1rd1457	5	0.05906498122419607	202.41927535890204	497.012772974702	1025.0676252321603
B2rn1rd1459	5	0.04006616655178885	223.56068233966835	545.4754715961874	1139.7781098051312
B2rn1rd1461	5	0.033735950632854006	210.15649310737788	567.8646171370764	1258.8795038724777
B2rn1rd1463	5	0.05312047395815789	201.48240943765916	515.6505704697263	1208.2073399555075
B2rn1rd1465	5	0.06644412733923605	230.01313493758994	615.9244177657356	1160.5837540534737
B2rn1rd1467	5	0.08639234027392681	200.9784227784485	627.3299522103272	1178.3950670799213
B2rn1rd1469	5	0.05326703751492137	193.86938660162062	637.3774588405172	1209.2546797718992
B2rn1rd147	1	0.1239673724626287	197.26136759357672	891.1748304158244	1686.516551935029
B2rn1rd1471	5	0.05895935853186657	202.23446651465804	517.0643510080635	1106.9436155482856
B2rn1rd1473	5	0.05232815030774217	194.90692456826213	623.6071233165708	1202.4021777065782
B2rn1rd1475	5	0.07314064248956392	195.07191276409873	583.1744308652217	1116.144113444655
B2rn1rd1477	5	0.0998232826637877	218.62584369572414	655.2946741666889	1298.7960148929453
B2rn1rd1479	5	0.0680303874550694	213.36059256224215	629.3039983104872	1381.1911121930902
B2rn1rd1481	5	0.07677000655172195	179.0019121653623	567.2646280599669	1440.5901806382697
B2rn1rd1483	5	0.06795630973483456	167.80267796011395	578.3075414656495	1088.6920020879045
B2rn1rd1485	5	0.1162120812709402	207.77215395629648	524.8273339468101	1028.346428565705
B2rn1rd1487	5	0.07205288030180415	204.78848355801534	544.7810555520174	1038.635652779855
B2rn1rd1489	5	0.055572316905142194	242.12659675016536	618.6845415256024	996.7178491689951
B2rn1rd1491	5	0.07148128981008707	227.74983251607813	627.2446894696483	1109.3832641510448
B2rn1rd1493	5	0.0916533003370319	221.88899655991392	613.6345844712718	1033.4884281290585
B2rn1rd1495	5	0.06627531966191237	241.42545523097866	629.3883521767241	999.101407754282
B2rn1rd1497	5	0.07729988629963655	211.14592605651438	575.9098459462499	1042.9827559693233
B2rn1rd1499	5	0.09265466826241645	203.20928303259834	516.0337254452155	988.9215972333614
B2rn1rd15	1	0.06310989855479922	207.8483428197601	913.6005470587053	1554.5871912165821
B2rn1rd1501	5	0.044740277791780386	216.1123152038538	580.1657018674985	1082.1110517892123
B2rn1rd1503	5	0.09113464940166073	204.52776183613057	555.8587639881856	1041.4450893039807
B2rn1rd1505	5	0.11025717326737927	206.08537221107875	544.1714201530707	1032.6041667050822
B2rn1rd1507	5	0.10805067197218779	198.55643793990333	548.1400638634045	1045.2042467020176
B2rn1rd1509	5	0.08678819769909862	207.0991348845404	499.3081789309347	1120.4134452730725
B2rn1rd151	1	0.12664242135030918	196.473885898726	951.1531411913874	1676.839451676414
B2rn1rd1511	5	0.0768537467547474	204.43438238823754	550.0089807280353	1363.849518185081
B2rn1rd1513	5	0.07897453304686497	191.2911934956761	576.942446799692	1216.342734562188
B2rn1rd1515	5	0.17346493269200938	217.15050468857916	550.9698029102202	1086.1632290045745
B2rn1rd1517	5	0.1304018700416229	210.74392380624596	604.4623550038346	1068.570803292341
B2rn1rd1519	5	0.11362833110702916	192.44583576344897	540.6025450196602	999.7068863472344
B2rn1rd1521	6	0.026355921131708038	227.50589487606467	457.6265965674687	922.6768431620089
B2rn1rd1523	6	0.04222709977321498	225.86127361333132	449.46992240730424	919.4548578669117
B2rn1rd1525	5	0.04069686155581698	227.85329424016896	473.0208057001798	966.781302151019
B2rn1rd1527	6	0.04659255551146524	219.43617066282874	457.26305763584764	944.4493513976747
B2rn1rd1529	6	0.0482790608404956	235.1907343907428	463.4956494117696	879.4995022031211
B2rn1rd153	1	0.12195147188654507	204.2701630534409	900.7517833148504	1715.7859797317392
B2rn1rd1531	6	0.0661664363915723	227.91663482392454	440.06330911781566	886.3867241188025
B2rn1rd1533	6	0.05538317021628947	209.59625166742373	414.73608665765295	874.7619164861716
B2rn1rd1535	6	0.09136819795245398	247.34553931076357	450.71023607996347	1021.0810263009729
B2rn1rd1537	6	0.1143478363177973	215.1103785330906	434.9287962756915	941.825698333424
B2rn1rd1541	6	0.05546401498782452	131.94100356014732	467.07930063594927	1070.2184834852214
B2rn1rd1543	6	0.029935702859080815	219.1959061979408	441.4755653222248	1422.2020717779792
B2rn1rd1545	6	0.03967542228326708	235.71245818212716	460.8582007026051	1237.6398933695789
B2rn1rd1547	6	0.051328051012643365	230.65256052301837	462.71623268477117	1296.1557289398775
B2rn1rd1549	6	0.09215901360544218	245.4751125054522	422.7157739721202	738.2027050547348
B2rn1rd155	1	0.10466932859294423	180.77301162505802	797.8404081522716	1704.9403077593797
B2rn1rd1551	6	0.11828236163781661	228.66678242438843	445.3086777597547	757.0595318231053
B2rn1rd1553	6	0.11273162025876628	214.86736862395114	428.39572743746817	874.6242371714432
B2rn1rd1555	6	0.06933184315090915	219.55985733700683	412.86668553416024	878.2776828826683
B2rn1rd1557	6	0.06527968939087256	241.04189438526214	423.01505884138106	853.1390407896212
B2rn1rd1559	6	0.07295136215755485	219.88444435003777	435.4641627317288	920.2023540416112
B2rn1rd1561	6	0.08162233288029294	217.47170108991585	428.3611804727089	903.8181929927242
B2rn1rd1563	6	0.05259805944599681	130.776597408391	479.10084087464384	762.1283470090875
B2rn1rd1565	6	0.06381509693682383	229.89241417565097	456.6716931283915	931.1684272818276
B2rn1rd1567	6	0.052609830493677456	223.03554171192286	433.20142052281193	900.7259924089598
B2rn1rd1569	6	0.032659052032545766	235.6215805747146	461.27421834326157	1651.6947315855236
B2rn1rd157	1	0.13499937918400312	177.7798160315285	847.1497116730373	1723.28880478271
B2rn1rd1571	6	0.046950300621332874	206.45832509981815	421.8725696280642	1360.8505463944275
B2rn1rd1573	6	0.040515624134965345	196.26798925061874	403.13000127492097	1543.830472632501
B2rn1rd1575	6	0.0619045011583277	241.390516548495	464.2634071374131	1014.7823050103291
B2rn1rd1577	6	0.07892462623244566	233.3319249915217	469.9209398888248	977.8336622881247
B2rn1rd1579	6	0.07292848955569536	221.23310041131603	442.6500704545749	923.0763711055367
B2rn1rd1581	6	0.08036326064337902	225.25974177201556	444.01274062887137	1045.952863534034
B2rn1rd1583	6	0.07488381095857642	223.17173703625704	447.4645996597144	1028.6887463725589
B2rn1rd1585	6	0.07752990440870544	217.1342659328633	438.4776973222745	1069.13307083928
B2rn1rd1587	6	0.07998254556148976	231.21742333995508	466.3938832789673	1207.350302064389
B2rn1rd1589	6	0.06549682797402584	228.8537454007627	461.9530271970664	1293.9736997109292
B2rn1rd159	1	0.13104331394292626	190.62599857689628	839.0882060073881	1607.2632104563359
B2rn1rd1591	6	0.07861760163059967	215.92591574475802	437.51393709865357	1379.9391508831516
B2rn1rd1593	6	0.10307521692697326	233.99632880378908	472.4486450762476	1282.7789276143633
B2rn1rd1595	6	0.08963136603814001	224.76034615347606	442.72940985041487	827.0192402484105
B2rn1rd1597	6	0.1186596017634434	212.7334270185282	414.62618827275696	887.622585379855
B2rn1rd1599	6	0.12177209703477636	126.27045047024588	483.5682901552262	806.7213646035714
B2rn1rd1601	6	0.10763919389945861	232.42878747092135	473.366430624991	944.1378304769607
B2rn1rd1603	6	0.10823916691773837	224.59214382067512	458.76289688180407	998.1475524110749
B2rn1rd1605	6	0.053833066332335006	244.78770872428652	480.33359113149976	726.3399981216196
B2rn1rd1607	6	0.03929854136300212	147.3210784196973	369.08416540909326	883.0185988284491
B2rn1rd1609	6	0.04857052040788892	128.6747460089633	467.2503261431202	750.4110364647609
B2rn1rd161	1	0.14123153703950134	185.4525882702239	796.8921153176422	1458.526738915303
B2rn1rd1611	6	0.060684609677767065	242.93991494490442	486.9874766204875	697.0435035356907
B2rn1rd1613	6	0.05869928681005604	237.10244029606116	441.8084815878549	1482.506246465958
B2rn1rd1615	6	0.04486498917499551	227.64364195383672	450.8628737392574	1415.0700522077293
B2rn1rd1617	6	0.034166736224743866	222.98793282789376	434.56006978010856	1361.2416486285886
B2rn1rd1619	6	0.025232219396236905	220.28602586841734	429.1558349016004	1074.8191609872847
B2rn1rd1621	6	0.04021111026952651	126.52577218503946	469.5813379805135	712.0799236347266
B2rn1rd1623	6	0.08534527236664638	126.90904100418678	515.6681173751518	712.0879885356824
B2rn1rd1625	6	0.04379346264397421	226.9326073732068	446.5355421229244	937.1056786543254
B2rn1rd1627	6	0.0381648111343212	126.89026427746025	480.3999655790381	1045.4829230615246
B2rn1rd1629	6	0.0455029337693275	222.51268543405303	440.55233112984837	1104.9463152916137
B2rn1rd163	1	0.04402889874599786	216.29373856111704	749.9609319485467	1715.166404080068
B2rn1rd1631	6	0.04642976222714966	207.84716616444942	428.0067197553556	1308.0251249019361
B2rn1rd1633	6	0.06882462642761147	237.5512944922754	464.51476574840314	1067.3918011007154
B2rn1rd1635	6	0.05286547385277135	208.11477930925585	424.25523255661284	1197.495148158574
B2rn1rd1637	6	0.09102474595818169	199.60257632792297	400.01735729884706	1024.5646649450189
B2rn1rd165	1	0.05513994515143736	210.30600197683552	721.7554466872481	1639.2712381410338
B2rn1rd167	1	0.052032456035786545	203.57292750235376	737.6268469559274	1673.8905212113195
B2rn1rd169	1	0.04603737632673513	197.33643292498664	801.7526712460367	1702.5589190798196
B2rn1rd17	1	0.0782769266624655	229.7773716131685	867.5515684280682	1491.8846081942484
B2rn1rd171	1	0.051969100301936716	-1	957.4539323068203	1634.8035730257466
B2rn1rd173	1	0.0495826969321934	101.33900235527338	966.0235534725081	1630.9957674303794
B2rn1rd175	1	0.046005525808125655	-1	948.2322436688871	1614.267398768689
B2rn1rd177	1	0.05408388994977678	198.0872338730822	956.3378894661142	1692.2429190815694
B2rn1rd179	1	0.03544275080211362	197.53796407156182	895.7659016766405	1660.6978666362743
B2rn1rd181	1	0.06799567619759883	-1	970.7214913282796	1738.782181711264
B2rn1rd183	1	0.06553498806492156	209.83149321084554	834.577379834622	1534.5094856217922
B2rn1rd185	1	0.06570420397839566	196.33151321618232	896.9468330252158	1567.0372840257141
