sigma,Budget,Gamma,Lambda,Alpha,tr0,tr1,tr2,ts0,ts1,ts2,time
1,6930,0.1,0.0001,0.3,-4.72385998171e+13,4.29377533594e+32,4.28777449267e+32,4.28777449267e+32,4.28777449267e+32,4.28777449267e+32,7992.65828825
1,6930,0.1,0.0001,0.4,-4.06684932213e+13,1.58986503767e+31,1.58764309307e+31,1.58764309307e+31,1.58764309307e+31,1.58764309307e+31,8111.173698
1,6930,0.1,0.0001,0.6,-3.45613440894e+13,3.79667855677e+30,3.79137244009e+30,3.79137244009e+30,3.79137244009e+30,3.79137244009e+30,8262.5363835
1,6930,0.1,0.1,0.3,1.12549044116e+14,8.54467592974e+36,4.27241275939e+36,4.27241275939e+36,4.27241275939e+36,4.27241275939e+36,8414.2325595
1,6930,0.1,0.1,0.4,-3.33428333508e+13,4.22064824464e+33,2.11036106713e+33,2.11036106713e+33,2.11036106713e+33,2.11036106713e+33,8743.6148885
1,6930,0.1,0.1,0.6,-2.1427950304e+13,5.36553202686e+35,2.6828129798e+35,2.6828129798e+35,2.6828129798e+35,2.6828129798e+35,8145.19512775
1,6930,0.1,0.3,0.3,-3.80070867542e+13,1.78365546576e+33,6.28936259974e+32,6.28936259974e+32,6.28936259974e+32,6.28936259974e+32,7774.10016675
1,6930,0.1,0.3,0.4,4.89354322759e+13,3.10215993603e+36,1.09385523464e+36,1.09385523464e+36,1.09385523464e+36,1.09385523464e+36,7898.42913275
1,6930,0.1,0.3,0.6,-4.35460424449e+13,1.47491262196e+34,5.20070185106e+33,5.20070185106e+33,5.20070185106e+33,5.20070185106e+33,7838.9517705
1,6930,0.8,0.0001,0.3,-3.45781307083e+13,8.71671135226e+32,8.6204252365e+32,8.6204252365e+32,8.6204252365e+32,8.6204252365e+32,7870.724421
1,6930,0.8,0.0001,0.4,-8.06168559364e+13,1.4546074904e+35,1.43853967543e+35,1.43853967543e+35,1.43853967543e+35,1.43853967543e+35,7810.25313625
1,6930,0.8,0.0001,0.6,-4.78292034417e+13,1.30966385976e+33,1.29519711412e+33,1.29519711412e+33,1.29519711412e+33,1.29519711412e+33,7984.80247325
1,6930,0.8,0.1,0.3,-1.19815341755e+15,1.04396256407e+40,3.02116800801e+39,3.02116800801e+39,3.02116800801e+39,3.02116800801e+39,8792.043005
1,6930,0.8,0.1,0.4,-3.35046248197e+13,1.72963254117e+35,5.00545774231e+34,5.00545774231e+34,5.00545774231e+34,5.00545774231e+34,8908.6585795
1,6930,0.8,0.1,0.6,-5.7599024831e+13,5.09526597697e+36,1.4745408592e+36,1.4745408592e+36,1.4745408592e+36,1.4745408592e+36,9134.914824
1,6930,0.8,0.3,0.3,8.72593835758e+13,1.16833670717e+36,3.0514814522e+35,3.0514814522e+35,3.0514814522e+35,3.0514814522e+35,9130.463088
1,6930,0.8,0.3,0.4,-3.2704353609e+13,2.03456782428e+34,5.3139184457e+33,5.3139184457e+33,5.3139184457e+33,5.3139184457e+33,8934.20579275
1,6930,0.8,0.3,0.6,-4.05588081618e+13,1.41063313528e+34,3.68431533627e+33,3.68431533627e+33,3.68431533627e+33,3.68431533627e+33,9057.7583835
2,6930,0.01,0.0001,0.3,-4.20309723646e+13,5.77773249707e+30,5.77692375524e+30,5.77692375524e+30,5.77692375524e+30,5.77692375524e+30,8835.780383
2,6930,0.01,0.0001,0.4,-2.18840055041e+13,6.91168207168e+30,6.91071460453e+30,6.91071460453e+30,6.91071460453e+30,6.91071460453e+30,8713.42165175
2,6930,0.01,0.0001,0.6,1.13582450171e+14,3.96390814086e+33,3.96335329026e+33,3.96335329026e+33,3.96335329026e+33,3.96335329026e+33,8907.49883275
2,6930,0.01,0.1,0.3,1.47100123991e+13,4.81786843476e+33,4.24387807672e+33,4.24387807672e+33,4.24387807672e+33,4.24387807672e+33,8755.6897405
2,6930,0.01,0.1,0.4,-2.60308880086e+13,1.62280531556e+34,1.4294678227e+34,1.4294678227e+34,1.4294678227e+34,1.4294678227e+34,8663.9304245
2,6930,0.01,0.1,0.6,-3.83601010292e+13,6.92251904113e+32,6.09778519115e+32,6.09778519115e+32,6.09778519115e+32,6.09778519115e+32,9151.27121575
2,6930,0.01,0.3,0.3,-3.42074653867e+13,1.50587661636e+32,1.09260763053e+32,1.09260763053e+32,1.09260763053e+32,1.09260763053e+32,8693.559471
2,6930,0.01,0.3,0.4,-3.31410497992e+13,4.23240057953e+33,3.0708712244e+33,3.0708712244e+33,3.0708712244e+33,3.0708712244e+33,8748.63647975
2,6930,0.01,0.3,0.6,-3.03343287054e+13,3.57460687371e+33,2.59360076646e+33,2.59360076646e+33,2.59360076646e+33,2.59360076646e+33,8737.0151135
2,6930,0.1,0.0001,0.3,-9.06966674164e+13,1.03745946898e+33,1.03600954877e+33,1.03600954877e+33,1.03600954877e+33,1.03600954877e+33,9181.74008275
2,6930,0.1,0.0001,0.4,-4.25385640761e+13,4.15790437874e+31,4.15209342438e+31,4.15209342438e+31,4.15209342438e+31,4.15209342438e+31,8778.144172
2,6930,0.1,0.0001,0.6,-9.86052383607e+13,5.27709972383e+33,5.2697246178e+33,5.2697246178e+33,5.2697246178e+33,5.2697246178e+33,8646.871592
2,6930,0.1,0.1,0.3,-3.53729741773e+13,6.32921654528e+32,3.16466367448e+32,3.16466367448e+32,3.16466367448e+32,3.16466367448e+32,8918.97718
2,6930,0.1,0.1,0.4,-4.58240292192e+13,2.29156134473e+35,1.1458007312e+35,1.1458007312e+35,1.1458007312e+35,1.1458007312e+35,8612.52417425
2,6930,0.1,0.1,0.6,-4.15861469187e+13,3.06449275138e+33,1.53227320026e+33,1.53227320026e+33,1.53227320026e+33,1.53227320026e+33,9079.74347725
2,6930,0.1,0.3,0.3,-3.47988865051e+13,6.82833983985e+32,2.40774667707e+32,2.40774667707e+32,2.40774667707e+32,2.40774667707e+32,9310.4801175
2,6930,0.1,0.3,0.4,-3.36510996919e+13,4.43716994898e+32,1.56459424264e+32,1.56459424264e+32,1.56459424264e+32,1.56459424264e+32,9012.1447045
2,6930,0.1,0.3,0.6,-3.39063700107e+13,1.60661162852e+33,5.66508683023e+32,5.66508683023e+32,5.66508683023e+32,5.66508683023e+32,9139.9778825
2,6930,0.8,0.0001,0.3,-3.71274445333e+13,8.40544134769e+32,8.31259356761e+32,8.31259356761e+32,8.31259356761e+32,8.31259356761e+32,9089.447191
2,6930,0.8,0.0001,0.4,3.16881270477e+14,2.12858638788e+37,2.10507369978e+37,2.10507369978e+37,2.10507369978e+37,2.10507369978e+37,9184.71440425
2,6930,0.8,0.0001,0.6,-3.5923546231e+13,5.136336733e+32,5.07959997836e+32,5.07959997836e+32,5.07959997836e+32,5.07959997836e+32,9102.8241905
2,6930,0.8,0.1,0.3,-3.75199737991e+13,8.82675922264e+33,2.55441368261e+33,2.55441368261e+33,2.55441368261e+33,2.55441368261e+33,9184.93079425
2,6930,0.8,0.1,0.4,-5.32072573042e+13,4.10469577477e+35,1.18787550284e+35,1.18787550284e+35,1.18787550284e+35,1.18787550284e+35,8792.38574175
2,6930,0.8,0.1,0.6,-1.18784472817e+14,5.95898042926e+36,1.72449488639e+36,1.72449488639e+36,1.72449488639e+36,1.72449488639e+36,8844.74850575
2,6930,0.8,0.3,0.3,-3.8637686328e+13,1.16491078857e+36,3.0425335804e+35,3.0425335804e+35,3.0425335804e+35,3.0425335804e+35,8825.20400075
2,6930,0.8,0.3,0.4,-3.4149694141e+13,1.01236538197e+33,2.64411292307e+32,2.64411292307e+32,2.64411292307e+32,2.64411292307e+32,9536.125858
2,6930,0.8,0.3,0.6,4.57482293365e+14,3.59716074228e+39,9.39512489702e+38,9.39512489702e+38,9.39512489702e+38,9.39512489702e+38,8797.37875775
