time,sigmal , sigmap ,sigmai, rse
96.172129,0.0001,0.00001,0.1,0.997712
97.577356,0.0001,0.00001,0.5,0.997712
96.223252,0.0001,0.00001,10,0.997712
96.723637,0.0001,0.00001,100,0.997708
100.157531,0.0001,0.00001,1000,0.968853
95.521862,0.0001,0.00001,10000,0.96991
95.420606,0.0001,0.00001,100000,0.963718
96.478887,0.0001,0.0001,0.00001,0.997712
95.616381,0.0001,0.0001,0.0001,0.997712
94.612627,0.0001,0.0001,0.001,0.997712
96.609244,0.0001,0.0001,0.01,0.997712
96.697574,0.0001,0.0001,0.1,0.997712
95.926316,0.0001,0.0001,0.5,0.997712
95.714494,0.0001,0.0001,10,0.997712
97.604748,0.0001,0.0001,100,0.997706
96.100735,0.0001,0.0001,1000,0.971525
96.178197,0.0001,0.0001,10000,0.96367
94.616518,0.0001,0.0001,100000,0.965529
98.942862,0.0001,0.001,0.00001,0.997712
95.373257,0.0001,0.001,0.0001,0.997712
93.69439,0.0001,0.001,0.001,0.997712
98.305641,0.0001,0.001,0.01,0.997712
96.454747,0.0001,0.001,0.1,0.997712
95.525244,0.0001,0.001,0.5,0.997712
95.21666,0.0001,0.001,10,0.997712
95.39196,0.0001,0.001,100,0.99771
97.866899,0.0001,0.001,1000,0.970001
94.733905,0.0001,0.001,10000,0.964793
96.83184,0.0001,0.001,100000,0.962536
95.563984,0.0001,0.01,0.00001,0.997712
96.402669,0.0001,0.01,0.0001,0.997712
97.74008,0.0001,0.01,0.001,0.997712
96.127532,0.0001,0.01,0.01,0.997712
96.184931,0.0001,0.01,0.1,0.997712
97.587278,0.0001,0.01,0.5,0.997712
96.09077,0.0001,0.01,10,0.997712
95.392218,0.0001,0.01,100,0.997711
95.228317,0.0001,0.01,1000,0.972544
97.282334,0.0001,0.01,10000,0.965276
96.536742,0.0001,0.01,100000,0.966232
97.731246,0.0001,0.1,0.00001,0.997712
97.292044,0.0001,0.1,0.0001,0.997712
98.803177,0.0001,0.1,0.001,0.997712
98.433359,0.0001,0.1,0.01,0.997712
97.691599,0.0001,0.1,0.1,0.997712
96.591422,0.0001,0.1,0.5,0.997712
97.183656,0.0001,0.1,10,0.997712
98.342915,0.0001,0.1,100,0.997705
96.691148,0.0001,0.1,1000,0.972237
99.614878,0.0001,0.1,10000,0.963832
96.544576,0.0001,0.1,100000,0.964232
99.758647,0.0001,0.5,0.00001,0.997712
97.090908,0.0001,0.5,0.0001,0.997712
98.075547,0.0001,0.5,0.001,0.997712
97.6894,0.0001,0.5,0.01,0.997712
100.017592,0.0001,0.5,0.1,0.997712
96.720206,0.0001,0.5,0.5,0.997712
