Testing methods
TotalAmount ; 0.000000 ; 1.000000
TotalAmount ; 33.300000 ; 34.300000
TotalAmount ; 66.600000 ; 67.600000
TotalAmount ; 99.900000 ; 100.900000
TotalAmount ; 133.200000 ; 134.200000
TotalAmount ; 0.000000 ; 1.000000
TotalAmount ; 33.300000 ; 34.300000
TotalAmount ; 66.600000 ; 67.600000
TotalAmount ; 99.900000 ; 100.900000
TotalAmount ; 133.200000 ; 134.200000
Linear ; 0.980000 ; 363.061212 ; 15107.776139 ; 26500.792994
Linear ; 0.980000 ; 295.601945 ; 18346.693153 ; 32182.229396
Linear ; 0.980000 ; 326.267852 ; 15730.441284 ; 27593.019935
Linear ; 0.400000 ; 327.095472 ; 47284.044356 ; 11357.259990
Linear ; 0.400000 ; 275.842876 ; 85849.877835 ; 20620.473480
Linear ; 0.400000 ; 320.015833 ; 52278.891893 ; 12556.983551
Linear ; 0.500000 ; 338.777628 ; 6474.486658 ; 13103.685979
Linear ; 0.500000 ; 275.685671 ; 11405.599068 ; 23083.743388
Linear ; 0.500000 ; 299.927015 ; 6894.959079 ; 13954.678320
Linear ; 0.600000 ; 355.232561 ; 6758.171587 ; 14906.915821
Linear ; 0.600000 ; 283.775228 ; 11404.201203 ; 25154.949848
Linear ; 0.600000 ; 360.460282 ; 7213.967820 ; 15912.293680
Linear ; 0.700000 ; 380.440378 ; 8137.589758 ; 16776.071312
Linear ; 0.700000 ; 291.796458 ; 13164.663850 ; 27139.650205
Linear ; 0.700000 ; 306.878143 ; 8768.057001 ; 18075.812849
Linear ; 0.800000 ; 339.808516 ; 14237.516712 ; 19445.470222
Linear ; 0.800000 ; 300.110362 ; 21285.432415 ; 29071.449086
Linear ; 0.800000 ; 322.695152 ; 15828.685830 ; 21618.674464
Linear ; 0.900000 ; 374.972470 ; 10648.253975 ; 22636.572679
Linear ; 0.900000 ; 281.715735 ; 14494.005428 ; 30812.056894
Linear ; 0.900000 ; 317.556646 ; 11587.566360 ; 24633.408322
Linear ; 0.920000 ; 340.172126 ; 13526.395196 ; 23503.375696
Linear ; 0.920000 ; 292.146562 ; 17922.384021 ; 31141.817085
Linear ; 0.920000 ; 300.119099 ; 14313.025978 ; 24870.220190
Linear ; 0.940000 ; 406.434210 ; 62493.795414 ; 24512.083056
Linear ; 0.940000 ; 278.547160 ; 80359.772013 ; 31519.695562
Linear ; 0.940000 ; 311.524776 ; 66672.499387 ; 26151.105589
Linear ; 0.960000 ; 389.371639 ; 13923.049986 ; 25541.814723
Linear ; 0.960000 ; 304.259673 ; 17374.213632 ; 31872.969357
Linear ; 0.960000 ; 338.912800 ; 14763.594655 ; 27083.792683
Linear ; 0.980000 ; 399.654882 ; 23249.644926 ; 26390.768338
Linear ; 0.980000 ; 278.420212 ; 28354.239810 ; 32185.015152
Linear ; 0.980000 ; 319.041390 ; 24154.422488 ; 27417.785099
Linear ; 0.400000 ; 328.215961 ; 22706.380361 ; 11353.190181
Linear ; 0.400000 ; 291.149289 ; 41145.249023 ; 20572.624512
Linear ; 0.400000 ; 305.967812 ; 25183.284345 ; 12591.642172
Linear ; 0.500000 ; 347.952743 ; 31991.671147 ; 13309.339818
Linear ; 0.500000 ; 276.409460 ; 55415.139409 ; 23054.091736
Linear ; 0.500000 ; 315.208077 ; 33816.977755 ; 14068.713275
Linear ; 0.600000 ; 345.129372 ; 12770.027766 ; 14921.735144
Linear ; 0.600000 ; 254.021295 ; 21548.301838 ; 25179.119321
Linear ; 0.600000 ; 337.408669 ; 13357.360778 ; 15608.031824
Linear ; 0.700000 ; 326.717724 ; 8062.992355 ; 16584.634580
Linear ; 0.700000 ; 291.427431 ; 13172.915342 ; 27095.150000
Linear ; 0.700000 ; 318.060486 ; 8435.765785 ; 17351.386036
Linear ; 0.800000 ; 367.667107 ; 12252.204825 ; 19297.783772
Linear ; 0.800000 ; 289.309272 ; 18475.316960 ; 29099.470415
Linear ; 0.800000 ; 302.289048 ; 13855.475407 ; 21823.008371
Linear ; 0.900000 ; 372.532625 ; 32157.805099 ; 22739.002321
Linear ; 0.900000 ; 258.625743 ; 43598.329628 ; 30828.674891
Linear ; 0.900000 ; 307.656807 ; 33661.043200 ; 23801.952189
Linear ; 0.920000 ; 371.316154 ; 11556.231021 ; 23823.780930
Linear ; 0.920000 ; 282.312964 ; 15140.702909 ; 31213.359148
Linear ; 0.920000 ; 332.220247 ; 12301.105473 ; 25359.378975
Linear ; 0.940000 ; 331.614056 ; 19238.697995 ; 24451.959181
Linear ; 0.940000 ; 303.159423 ; 24769.746171 ; 31481.798949
Linear ; 0.940000 ; 304.301354 ; 20132.724450 ; 25588.247011
