sigmal ; sigmap ; rse
150.534815 ; 10000.000000 ; 0.500000 ; 0.447895 
150.782366 ; 10000.000000 ; 10.000000 ; 0.377197 
148.407240 ; 10000.000000 ; 100.000000 ; 0.389515 
152.449855 ; 10000.000000 ; 1000.000000 ; 0.354312 
147.572945 ; 10000.000000 ; 10000.000000 ; 0.357216 
150.536432 ; 10000.000000 ; 100000.000000 ; 0.356333 
146.812490 ; 100000.000000 ; 0.000010 ; 0.433648 
148.758958 ; 100000.000000 ; 0.000100 ; 0.441911 
149.127571 ; 100000.000000 ; 0.001000 ; 0.434092 
150.866499 ; 100000.000000 ; 0.010000 ; 0.441263 
150.430017 ; 100000.000000 ; 0.100000 ; 0.445758 
149.706428 ; 100000.000000 ; 0.500000 ; 0.440063 
152.702709 ; 100000.000000 ; 10.000000 ; 0.368819 
149.272082 ; 100000.000000 ; 100.000000 ; 0.389207 
148.138487 ; 100000.000000 ; 1000.000000 ; 0.356364 
150.300679 ; 100000.000000 ; 10000.000000 ; 0.353623 
151.141344 ; 100000.000000 ; 100000.000000 ; 0.357058 
sigmal ; sigmap ; rse
92.439025 ; 0.000010 ; 0.000010 ; 0.962051 
92.011750 ; 0.000010 ; 0.000100 ; 0.964718 
92.113435 ; 0.000010 ; 0.001000 ; 0.963745 
88.654401 ; 0.000010 ; 0.010000 ; 0.947925 
91.528711 ; 0.000010 ; 0.100000 ; 0.961896 
sigmal ; sigmap ; rse
101.557511 ; 0.000010 ; 0.000010 ; 0.968996 
102.013876 ; 0.000010 ; 0.000100 ; 0.961295 
102.365559 ; 0.000010 ; 0.001000 ; 0.952376 
101.969331 ; 0.000010 ; 0.010000 ; 0.953113 
103.699984 ; 0.000010 ; 0.100000 ; 0.968797 
102.009219 ; 0.000010 ; 0.500000 ; 0.968845 
112.196758 ; 0.000010 ; 10.000000 ; 0.914557 
123.566878 ; 0.000010 ; 100.000000 ; 0.736909 
123.578013 ; 0.000010 ; 1000.000000 ; 0.687899 
113.456328 ; 0.000010 ; 10000.000000 ; 0.618398 
124.237955 ; 0.000010 ; 100000.000000 ; 0.679770 
110.762784 ; 0.000100 ; 0.000010 ; 0.949012 
114.218543 ; 0.000100 ; 0.000100 ; 0.954114 
111.522056 ; 0.000100 ; 0.001000 ; 0.960342 
109.823187 ; 0.000100 ; 0.010000 ; 0.963328 
109.700466 ; 0.000100 ; 0.100000 ; 0.968531 
113.146843 ; 0.000100 ; 0.500000 ; 0.958096 
112.596317 ; 0.000100 ; 10.000000 ; 0.854879 
134.352772 ; 0.000100 ; 100.000000 ; 0.630164 
134.219527 ; 0.000100 ; 1000.000000 ; 0.686430 
133.748193 ; 0.000100 ; 10000.000000 ; 0.687033 
133.394305 ; 0.000100 ; 100000.000000 ; 0.697468 
112.507404 ; 0.001000 ; 0.000010 ; 0.965058 
114.781814 ; 0.001000 ; 0.000100 ; 0.964371 
111.812220 ; 0.001000 ; 0.001000 ; 0.956126 
112.117046 ; 0.001000 ; 0.010000 ; 0.954182 
112.501477 ; 0.001000 ; 0.100000 ; 0.972090 
113.981963 ; 0.001000 ; 0.500000 ; 0.974184 
113.040883 ; 0.001000 ; 10.000000 ; 0.814968 
134.866473 ; 0.001000 ; 100.000000 ; 0.669646 
