kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc
Linear ; 0.900000 ; 354.704507 ; 11565.809713 ; 22908.120619; 0.956725
rbf ; 0.900000 ; 284.176101 ; 15578.604877 ; 0.833734; 0.833734
linxrbf ; 0.900000 ; 349.204929 ; 12542.271775 ; 24842.175497; 1.012429
// Iteration 1; Missing rate = 0.920000; RSE (X, X_ic) = 26996.435565
Linear ; 0.920000 ; 372.332680 ; 45724.987275 ; 23725.531805; 0.968572
rbf ; 0.920000 ; 294.364909 ; 60068.213048 ; 0.860380; 0.860380
linxrbf ; 0.920000 ; 382.859919 ; 48827.773582 ; 25335.488627; 1.026296
// Iteration 1; Missing rate = 0.940000; RSE (X, X_ic) = 27268.163483
Linear ; 0.940000 ; 809.063582 ; 13435.974984 ; 24436.090908; 0.988853
rbf ; 0.940000 ; 327.953110 ; 17313.782779 ; 0.890076; 0.890076
linxrbf ; 0.940000 ; 323.241098 ; 13941.916286 ; 25356.249487; 1.025660
// Iteration 1; Missing rate = 0.960000; RSE (X, X_ic) = 27588.296783
Linear ; 0.960000 ; 366.967446 ; 31135.961153 ; 25544.337688; 1.015219
rbf ; 0.960000 ; 280.793517 ; 38842.759180 ; 0.927916; 0.927916
linxrbf ; 0.960000 ; 318.720564 ; 32507.399968 ; 26669.483497; 1.090749
// Iteration 1; Missing rate = 0.980000; RSE (X, X_ic) = 27872.521640
Linear ; 0.980000 ; 372.286952 ; 14117.978093 ; 26629.113822; 1.059740
rbf ; 0.980000 ; 313.143487 ; 17064.568048 ; 0.962519; 0.962519
linxrbf ; 0.980000 ; 360.605670 ; 14579.160754 ; 27498.989486; 1.105511
// Iteration 2; Missing rate = 0.100000; RSE (X, X_ic) = 8850.762800
Linear ; 0.100000 ; 313.950311 ; 9725.132175 ; 5721.765801; 0.288173
rbf ; 0.100000 ; 343.487852 ; 17359.550219 ; 0.162963; 0.162963
linxrbf ; 0.100000 ; 369.234227 ; 10079.471552 ; 5930.240801; 0.291044
// Iteration 2; Missing rate = 0.400000; RSE (X, X_ic) = 17763.942033
Linear ; 0.400000 ; 351.532685 ; 6081.605539 ; 11532.869530; 0.598645
rbf ; 0.400000 ; 287.598597 ; 10818.680515 ; 0.377055; 0.377055
linxrbf ; 0.400000 ; 313.709669 ; 6119.013534 ; 11603.808285; 0.605859
// Iteration 2; Missing rate = 0.500000; RSE (X, X_ic) = 19901.580209
Linear ; 0.500000 ; 337.144905 ; 26741.546685 ; 12846.223388; 0.685973
rbf ; 0.500000 ; 277.425974 ; 47831.743523 ; 0.446873; 0.446873
linxrbf ; 0.500000 ; 307.353214 ; 29117.905445 ; 13987.789200; 0.682860
// Iteration 2; Missing rate = 0.600000; RSE (X, X_ic) = 21806.709862
Linear ; 0.600000 ; 336.142305 ; 7009.796004 ; 14965.039782; 0.756438
rbf ; 0.600000 ; 273.280989 ; 11792.813178 ; 0.521973; 0.521973
linxrbf ; 0.600000 ; 304.928559 ; 7565.814138 ; 16152.069117; 0.760186
// Iteration 2; Missing rate = 0.700000; RSE (X, X_ic) = 23573.442258
Linear ; 0.700000 ; 339.806248 ; 15196.342493 ; 16858.828478; 0.828118
rbf ; 0.700000 ; 272.502055 ; 24536.120904 ; 0.608149; 0.608149
linxrbf ; 0.700000 ; 328.252835 ; 16622.923692 ; 18441.478235; 0.840919
// Iteration 2; Missing rate = 0.800000; RSE (X, X_ic) = 25168.600778
Linear ; 0.800000 ; 355.593938 ; 18060.945238 ; 19400.568010; 0.892388
rbf ; 0.800000 ; 329.014142 ; 27059.400578 ; 0.706846; 0.706846
linxrbf ; 0.800000 ; 319.540941 ; 19818.394098 ; 21288.370984; 0.930603
// Iteration 2; Missing rate = 0.900000; RSE (X, X_ic) = 26680.523535
Linear ; 0.900000 ; 340.573443 ; 11694.291438 ; 22761.733979; 0.961707
rbf ; 0.900000 ; 280.982186 ; 15831.049589 ; 0.830251; 0.830251
linxrbf ; 0.900000 ; 318.093920 ; 12460.618272 ; 24253.310245; 1.007477
// Iteration 2; Missing rate = 0.920000; RSE (X, X_ic) = 26972.391317
Linear ; 0.920000 ; 343.724221 ; 14416.951194 ; 23740.032667; 0.981735
rbf ; 0.920000 ; 281.579985 ; 18916.682557 ; 0.858966; 0.858966
linxrbf ; 0.920000 ; 369.701858 ; 15308.544536 ; 25208.197106; 1.032146
// Iteration 2; Missing rate = 0.940000; RSE (X, X_ic) = 27251.293180
Linear ; 0.940000 ; 406.778220 ; 13293.750573 ; 24526.325099; 0.990072
rbf ; 0.940000 ; 283.628786 ; 17057.667892 ; 0.888375; 0.888375
linxrbf ; 0.940000 ; 318.493215 ; 13976.345350 ; 25785.679359; 1.044657
// Iteration 2; Missing rate = 0.960000; RSE (X, X_ic) = 27580.996725
Linear ; 0.960000 ; 377.163597 ; 19968.841976 ; 25680.320963; 1.012382
rbf ; 0.960000 ; 299.928308 ; 24759.711571 ; 0.925041; 0.925041
linxrbf ; 0.960000 ; 310.744517 ; 20507.548335 ; 26373.107866; 1.057325
// Iteration 2; Missing rate = 0.980000; RSE (X, X_ic) = 27862.586516
Linear ; 0.980000 ; 349.812319 ; 13473.513627 ; 26291.283467; 1.029091
rbf ; 0.980000 ; 269.361655 ; 16488.178616 ; 0.961039; 0.961039
linxrbf ; 0.980000 ; 312.807817 ; 14037.634078 ; 27392.069135; 1.112651
// Iteration 3; Missing rate = 0.100000; RSE (X, X_ic) = 9043.761065
Linear ; 0.100000 ; 320.831910 ; 3389.726409 ; 5964.525791; 0.295836
rbf ; 0.100000 ; 272.774457 ; 5933.958932 ; 0.167141; 0.167141
linxrbf ; 0.100000 ; 303.920524 ; 3076.951447 ; 5414.170364; 0.294449
// Iteration 3; Missing rate = 0.400000; RSE (X, X_ic) = 17794.477014
Linear ; 0.400000 ; 323.969255 ; 6100.814485 ; 11814.176582; 0.614264
